gene,gene
Xkr4,ENSMUSG00000051951.5
Rp1,ENSMUSG00000025900.12
Sox17,ENSMUSG00000025902.13
Mrpl15,ENSMUSG00000033845.13
Lypla1,ENSMUSG00000025903.14
Gm37988,ENSMUSG00000104217.1
Tcea1,ENSMUSG00000033813.15
Rgs20,ENSMUSG00000002459.17
Atp6v1h,ENSMUSG00000033793.12
Oprk1,ENSMUSG00000025905.13
Npbwr1,ENSMUSG00000033774.4
Rb1cc1,ENSMUSG00000025907.14
Alkal1,ENSMUSG00000087247.3
St18,ENSMUSG00000033740.17
Pcmtd1,ENSMUSG00000051285.17
Sntg1,ENSMUSG00000025909.16
Rrs1,ENSMUSG00000061024.8
Adhfe1,ENSMUSG00000025911.14
Vxn,ENSMUSG00000067879.3
Mybl1,ENSMUSG00000025912.16
Vcpip1,ENSMUSG00000045210.8
Sgk3,ENSMUSG00000025915.14
Mcmdc2,ENSMUSG00000046101.16
Tcf24,ENSMUSG00000099032.2
Ppp1r42,ENSMUSG00000025916.10
Cops5,ENSMUSG00000025917.9
Cspp1,ENSMUSG00000056763.16
Arfgef1,ENSMUSG00000067851.11
Cpa6,ENSMUSG00000042501.12
Prex2,ENSMUSG00000048960.13
A830018L16Rik,ENSMUSG00000057715.13
Sulf1,ENSMUSG00000016918.15
Slco5a1,ENSMUSG00000025938.16
Prdm14,ENSMUSG00000042414.7
Ncoa2,ENSMUSG00000005886.14
Tram1,ENSMUSG00000025935.10
Lactb2,ENSMUSG00000025937.6
Xkr9,ENSMUSG00000067813.3
Eya1,ENSMUSG00000025932.14
Msc,ENSMUSG00000025930.6
Trpa1,ENSMUSG00000032769.5
Kcnb2,ENSMUSG00000092083.4
Terf1,ENSMUSG00000025925.14
Sbspon,ENSMUSG00000032719.4
4930444P10Rik,ENSMUSG00000067795.13
Rpl7,ENSMUSG00000043716.13
Rdh10,ENSMUSG00000025921.7
Stau2,ENSMUSG00000025920.19
Ube2w,ENSMUSG00000025939.18
Eloc,ENSMUSG00000079658.9
Tmem70,ENSMUSG00000025940.6
Ly96,ENSMUSG00000025779.10
Jph1,ENSMUSG00000042686.5
Gdap1,ENSMUSG00000025777.8
Pi15,ENSMUSG00000067780.3
Crispld1,ENSMUSG00000025776.13
Crisp4,ENSMUSG00000025774.14
Defb18,ENSMUSG00000073735.1
Defb41,ENSMUSG00000067773.6
Tfap2d,ENSMUSG00000042596.7
Tfap2b,ENSMUSG00000025927.13
Pkhd1,ENSMUSG00000043760.16
Il17a,ENSMUSG00000025929.4
Il17f,ENSMUSG00000041872.9
Mcm3,ENSMUSG00000041859.10
Paqr8,ENSMUSG00000025931.15
Efhc1,ENSMUSG00000041809.5
Tram2,ENSMUSG00000041779.5
Tmem14a,ENSMUSG00000025933.15
Gsta3,ENSMUSG00000025934.15
Khdc1a,ENSMUSG00000067750.3
Khdc1c,ENSMUSG00000041722.7
Khdc1b,ENSMUSG00000085079.3
Kcnq5,ENSMUSG00000028033.16
Rims1,ENSMUSG00000041670.16
Ppp1r14bl,
Ogfrl1,ENSMUSG00000026158.11
B3gat2,ENSMUSG00000026156.8
Smap1,ENSMUSG00000026155.13
Sdhaf4,ENSMUSG00000026154.4
Fam135a,ENSMUSG00000026153.15
Col9a1,ENSMUSG00000026147.16
Col19a1,ENSMUSG00000026141.13
Lmbrd1,ENSMUSG00000073725.8
Adgrb3,ENSMUSG00000033569.17
4931408C20Rik,ENSMUSG00000073722.3
Gm597,ENSMUSG00000048411.4
Phf3,ENSMUSG00000048874.15
Ptp4a1,ENSMUSG00000117310.1
Ptp4a1-1,
Gm5698,ENSMUSG00000117091.1
4931428L18Rik,ENSMUSG00000086727.8
Lgsn,ENSMUSG00000050217.13
Dnaaf6,
Khdrbs2,ENSMUSG00000026058.11
Gm5415,ENSMUSG00000091318.2
Prim2,ENSMUSG00000026134.11
Rab23,ENSMUSG00000004768.14
Bag2,ENSMUSG00000042215.8
Zfp451,ENSMUSG00000042197.13
Bend6,ENSMUSG00000042182.16
Dst,ENSMUSG00000026131.19
Ccdc115,ENSMUSG00000042111.9
Imp4,ENSMUSG00000026127.13
Ptpn18,ENSMUSG00000026126.15
Prss39,ENSMUSG00000026125.9
Cfc1,ENSMUSG00000026124.4
Prss40,ENSMUSG00000037529.13
Amer3,ENSMUSG00000045174.10
Arhgef4,ENSMUSG00000118272.1
SMIM39,
Fam168b,ENSMUSG00000037503.12
Plekhb2,ENSMUSG00000026123.11
Hs6st1,ENSMUSG00000045216.7
Uggt1,ENSMUSG00000037470.14
Neurl3,ENSMUSG00000047180.8
Arid5a,ENSMUSG00000037447.16
Kansl3,ENSMUSG00000010453.12
Fer1l5,ENSMUSG00000037432.15
Lman2l,ENSMUSG00000001143.13
Cnnm4,ENSMUSG00000037408.10
Cnnm3,ENSMUSG00000001138.13
Ankrd23,ENSMUSG00000067653.12
Gm42417,ENSMUSG00000109510.1
Ankrd39,ENSMUSG00000079610.9
Sema4c,ENSMUSG00000026121.13
Fam178b,ENSMUSG00000046337.17
Cox5b,ENSMUSG00000061518.11
Actr1b,ENSMUSG00000037351.9
4933424G06Rik,ENSMUSG00000102416.4
Zap70,ENSMUSG00000026117.10
Tmem131,ENSMUSG00000026116.11
Vwa3b,ENSMUSG00000050122.19
Cnga3,ENSMUSG00000026114.14
Inpp4a,ENSMUSG00000026113.17
Coa5,ENSMUSG00000026112.7
Unc50,ENSMUSG00000026111.15
Mgat4a,ENSMUSG00000026110.15
Cracdl,
Tsga10,ENSMUSG00000060771.14
Lipt1,ENSMUSG00000037216.5
Mitd1,ENSMUSG00000026088.15
Mrpl30,ENSMUSG00000026087.11
Lyg2,ENSMUSG00000061584.6
Lyg1,ENSMUSG00000026085.11
Txndc9,ENSMUSG00000058407.12
Eif5b,ENSMUSG00000026083.12
Rev1,ENSMUSG00000026082.11
Aff3,ENSMUSG00000037138.17
Lonrf2,ENSMUSG00000048814.10
Chst10,ENSMUSG00000026080.13
Nms,ENSMUSG00000067604.8
Pdcl3,ENSMUSG00000026078.10
Npas2,ENSMUSG00000026077.15
Rpl31,ENSMUSG00000073702.11
Tbc1d8,ENSMUSG00000003134.10
Cnot11,ENSMUSG00000003135.15
Rnf149,ENSMUSG00000048234.13
Creg2,ENSMUSG00000050967.5
Rfx8,ENSMUSG00000057173.8
Gm3646,ENSMUSG00000091937.3
Map4k4,ENSMUSG00000026074.15
Il1r2,ENSMUSG00000026073.13
Il1r1,ENSMUSG00000026072.12
Il1rl2,ENSMUSG00000070942.8
Il1rl1,ENSMUSG00000026069.15
Il18r1,ENSMUSG00000026070.15
Il18rap,ENSMUSG00000026068.11
Slc9a4,ENSMUSG00000026065.8
Slc9a2,ENSMUSG00000026062.12
Mfsd9,ENSMUSG00000041945.12
Tmem182,ENSMUSG00000079588.3
Pou3f3,ENSMUSG00000045515.3
Mrps9,ENSMUSG00000060679.14
Gpr45,ENSMUSG00000041907.9
Tgfbrap1,ENSMUSG00000070939.9
AI597479,ENSMUSG00000010290.7
Fhl2,ENSMUSG00000008136.14
Nck2,ENSMUSG00000066877.11
Ecrg4,
Uxs1,ENSMUSG00000057363.12
Tpp2,ENSMUSG00000041763.14
Mettl21c,ENSMUSG00000047343.4
Gm8251,ENSMUSG00000091844.2
Tex30,ENSMUSG00000026049.11
Poglut2,
Bivm,ENSMUSG00000041684.11
Ercc5,ENSMUSG00000026048.16
Mettl21e,ENSMUSG00000046828.3
Gulp1,ENSMUSG00000056870.9
Col3a1,ENSMUSG00000026043.18
Col5a2,ENSMUSG00000026042.16
Wdr75,ENSMUSG00000025995.16
Gm5269,ENSMUSG00000098549.1
Slc40a1,ENSMUSG00000025993.10
Dnah7b,ENSMUSG00000041144.11
Dnah7c,ENSMUSG00000101337.6
Slc39a10,ENSMUSG00000025986.6
Tmeff2,ENSMUSG00000026109.14
Cavin2,ENSMUSG00000045954.7
Nabp1,ENSMUSG00000026107.11
Myo1b,ENSMUSG00000018417.14
Stat4,ENSMUSG00000062939.11
Stat1,ENSMUSG00000026104.14
Gls,ENSMUSG00000026103.14
Nab1,ENSMUSG00000002881.14
Nemp2,ENSMUSG00000043015.15
Mfsd6,ENSMUSG00000041439.15
Inpp1,ENSMUSG00000026102.9
Hibch,ENSMUSG00000041426.12
1700019D03Rik,ENSMUSG00000043629.12
Mstn,ENSMUSG00000026100.6
1700019A02Rik,ENSMUSG00000060715.9
Pms1,ENSMUSG00000026098.13
Ormdl1,ENSMUSG00000026097.9
Gm28778,ENSMUSG00000100679.1
Osgepl1,ENSMUSG00000026096.14
Gm28551,ENSMUSG00000099913.1
Asnsd1,ENSMUSG00000026095.15
Gm50478,
Dnah7a,ENSMUSG00000096141.2
Stk17b,ENSMUSG00000026094.14
Hecw2,ENSMUSG00000042807.15
Ccdc150,ENSMUSG00000025983.11
Gtf3c3,ENSMUSG00000041303.7
Gm34066,ENSMUSG00000109809.1
Pgap1,ENSMUSG00000073678.4
Ankrd44,ENSMUSG00000052331.14
Sf3b1,ENSMUSG00000025982.13
Coq10b,ENSMUSG00000025981.13
Hspd1,ENSMUSG00000025980.14
Hspe1,ENSMUSG00000073676.4
Mob4,ENSMUSG00000025979.13
Rftn2,ENSMUSG00000025978.14
Mars2,ENSMUSG00000046994.9
Boll,ENSMUSG00000025977.15
Plcl1,ENSMUSG00000038349.10
Hsfy2,ENSMUSG00000045336.5
Satb2,ENSMUSG00000038331.15
1700066M21Rik,ENSMUSG00000038323.3
Tyw5,ENSMUSG00000048495.16
Maip1,ENSMUSG00000025971.6
Spats2l,ENSMUSG00000038305.15
Kctd18,ENSMUSG00000054770.16
Sgo2a,ENSMUSG00000026039.9
Aox1,ENSMUSG00000063558.4
Aox3,ENSMUSG00000064294.12
Aox4,ENSMUSG00000038242.12
Aox2,ENSMUSG00000079554.2
Bzw1,ENSMUSG00000051223.14
Clk1,ENSMUSG00000026034.17
Ppil3,ENSMUSG00000026035.15
Nif3l1,ENSMUSG00000026036.17
Orc2,ENSMUSG00000026037.14
Fam126b,ENSMUSG00000038174.14
Ndufb3,ENSMUSG00000026032.8
Flacc1,
Cflar,ENSMUSG00000026031.15
Casp8,ENSMUSG00000026029.14
Trak2,ENSMUSG00000026028.12
Stradb,ENSMUSG00000026027.13
C2cd6,ENSMUSG00000047383.8
Tmem237,ENSMUSG00000038079.14
Mpp4,ENSMUSG00000079550.9
Als2,ENSMUSG00000026024.14
Cdk15,ENSMUSG00000026023.16
Fzd7,ENSMUSG00000041075.8
Gm973,ENSMUSG00000047361.16
Sumo1,ENSMUSG00000026021.15
Nop58,ENSMUSG00000026020.9
Bmpr2,ENSMUSG00000067336.6
Fam117b,ENSMUSG00000041040.12
Ica1l,ENSMUSG00000026018.12
Wdr12,ENSMUSG00000026019.15
Carf,ENSMUSG00000026017.13
Nbeal1,ENSMUSG00000073664.11
Cyp20a1,ENSMUSG00000049439.13
Abi2,ENSMUSG00000026782.15
Raph1,ENSMUSG00000026014.15
Cd28,ENSMUSG00000026012.2
Ctla4,ENSMUSG00000026011.13
Icos,ENSMUSG00000026009.14
Pard3b,ENSMUSG00000052062.14
Nrp2,ENSMUSG00000025969.15
Ino80d,ENSMUSG00000040865.15
Ndufs1,ENSMUSG00000025968.16
Eef1b2,ENSMUSG00000025967.16
Gpr1,ENSMUSG00000046856.13
Zdbf2,ENSMUSG00000027520.15
Adam23,ENSMUSG00000025964.15
Gm39653,ENSMUSG00000115378.1
Dytn,ENSMUSG00000069085.5
Mdh1b,ENSMUSG00000025963.5
Fastkd2,ENSMUSG00000025962.15
4933402D24Rik,ENSMUSG00000025961.1
Klf7,ENSMUSG00000025959.13
Creb1,ENSMUSG00000025958.14
Mettl21a,ENSMUSG00000025956.10
Ccnyl1,ENSMUSG00000070871.10
Fzd5,ENSMUSG00000045005.9
Plekhm3,ENSMUSG00000051344.13
Akr1cl,ENSMUSG00000025955.13
Cryge,ENSMUSG00000070870.6
Crygd,ENSMUSG00000067299.11
Crygc,ENSMUSG00000025952.15
Crygb,ENSMUSG00000073658.4
Cryga,ENSMUSG00000044429.8
Gm28845,ENSMUSG00000100846.1
D630023F18Rik,ENSMUSG00000044816.10
Idh1,ENSMUSG00000025950.16
Pikfyve,ENSMUSG00000025949.16
Pth2r,ENSMUSG00000025946.13
Crygf,ENSMUSG00000025945.11
Map2,ENSMUSG00000015222.17
Unc80,ENSMUSG00000055567.18
Rpe,ENSMUSG00000026005.15
Kansl1l,ENSMUSG00000026004.15
Acadl,ENSMUSG00000026003.5
Myl1,ENSMUSG00000061816.15
Lancl1,ENSMUSG00000026000.16
Cps1,ENSMUSG00000025991.8
Erbb4,ENSMUSG00000062209.15
Ikzf2,ENSMUSG00000025997.13
Spag16,ENSMUSG00000053153.14
Vwc2l,ENSMUSG00000045648.15
Bard1,ENSMUSG00000026196.7
Abca12,ENSMUSG00000050296.14
Atic,ENSMUSG00000026192.13
Fn1,ENSMUSG00000026193.15
Mreg,ENSMUSG00000039395.8
Pecr,ENSMUSG00000026189.13
Tmem169,ENSMUSG00000026188.11
Xrcc5,ENSMUSG00000026187.9
Marchf4,
Smarcal1,ENSMUSG00000039354.16
Ankar,ENSMUSG00000039342.5
Rpl37a,ENSMUSG00000046330.10
Igfbp2,ENSMUSG00000039323.18
Igfbp5,ENSMUSG00000026185.8
Tnp1,ENSMUSG00000026182.6
Tns1,ENSMUSG00000055322.15
Rufy4,ENSMUSG00000061815.11
